,p_q,AIC
415,"(14, 15)",168.50252896763814
416,"(16, 13)",168.518742865457
417,"(7, 24)",168.54010916147803
418,"(24, 4)",168.54483089755422
419,"(17, 3)",168.56304620742236
420,"(18, 12)",168.58920838186614
421,"(26, 2)",168.65132606440784
422,"(4, 26)",168.6868473827918
423,"(15, 9)",168.69475450003947
424,"(9, 2)",168.74756627532358
425,"(15, 7)",168.78380817737303
426,"(22, 6)",168.8005543340465
427,"(11, 16)",168.83657293808713
428,"(4, 32)",168.86718257085144
429,"(12, 22)",168.8707344915337
430,"(14, 19)",168.99370928394563
431,"(0, 30)",169.00016551785413
432,"(16, 10)",169.0063189943264
433,"(15, 10)",169.02557284673495
434,"(13, 9)",169.0744560873094
435,"(13, 22)",169.07495587767585
436,"(14, 21)",169.08413071062284
437,"(10, 25)",169.12776865262654
438,"(14, 20)",169.1349991377827
439,"(20, 7)",169.21560426278091
440,"(0, 28)",169.22778503541036
441,"(15, 15)",169.28138609651657
442,"(3, 32)",169.49088247672915
443,"(14, 9)",169.5140134268028
444,"(1, 28)",169.54068538243567
445,"(2, 27)",169.5584505887054
446,"(3, 26)",169.56642744634448
447,"(2, 32)",169.62742007383804
448,"(13, 10)",169.63514903080664
449,"(4, 28)",169.77730280626517
450,"(30, 0)",169.80586534788992
451,"(20, 14)",169.8223925713556
452,"(14, 7)",169.83216131251885
453,"(19, 12)",169.86312303751572
454,"(12, 23)",169.8717768123904
455,"(3, 33)",169.87476991272072
456,"(1, 9)",169.8809288769193
457,"(5, 5)",169.90470725919064
458,"(0, 35)",169.96830697289624
459,"(1, 10)",169.99819455135062
460,"(23, 6)",170.05401453911423
461,"(25, 4)",170.08383868227034
462,"(0, 31)",170.13733071688443
463,"(9, 25)",170.15514344159737
464,"(4, 35)",170.18580317213124
465,"(24, 5)",170.1865947294837
466,"(5, 34)",170.23146270516682
467,"(8, 28)",170.26224307500442
468,"(5, 32)",170.271643618656
469,"(13, 6)",170.33242398381333
470,"(29, 1)",170.33804961504626
471,"(10, 1)",170.34483378256544
472,"(28, 2)",170.34551018852318
473,"(18, 13)",170.4281260323896
474,"(27, 3)",170.43868999538768
475,"(12, 2)",170.46467050444028
476,"(13, 1)",170.46567778566427
477,"(0, 29)",170.46994051902848
478,"(12, 8)",170.56086648009955
479,"(22, 7)",170.5971756566898
480,"(9, 8)",170.67569677725865
481,"(10, 5)",170.69634875858074
482,"(16, 16)",170.71207063138053
483,"(16, 15)",170.73969938378457
484,"(14, 22)",170.8191707153383
485,"(13, 2)",170.96825962551065
486,"(20, 13)",171.02962438234476
487,"(10, 2)",171.03221290283872
488,"(4, 34)",171.0745535346709
489,"(15, 20)",171.12305289072046
490,"(12, 6)",171.21081109104452
491,"(21, 14)",171.22575163527426
492,"(11, 25)",171.252044548767
493,"(15, 21)",171.27952675710725
494,"(13, 25)",171.292883765427
495,"(1, 29)",171.29312949030066
496,"(13, 8)",171.37496123394604
497,"(18, 20)",171.40862953164213
498,"(18, 14)",171.44846346164093
499,"(13, 23)",171.46425429991962
500,"(17, 7)",171.50015745428698
501,"(20, 11)",171.50773259318078
502,"(2, 28)",171.5235685076442
503,"(14, 16)",171.54010264189694
504,"(10, 8)",171.54800841764404
505,"(6, 5)",171.552075609085
506,"(19, 14)",171.5564986769246
507,"(17, 10)",171.57681203480348
508,"(3, 27)",171.5788360122151
509,"(4, 29)",171.63378482833235
510,"(25, 5)",171.6870468632434
511,"(9, 26)",171.6992501989367
512,"(10, 4)",171.73784904063115
513,"(9, 6)",171.78813409178088
514,"(31, 0)",171.79556408158638
515,"(28, 3)",171.8031937225116
516,"(18, 11)",171.82845806225774
517,"(3, 34)",171.87746392551625
518,"(6, 27)",171.89204891251742
519,"(13, 18)",171.9085530635059
520,"(8, 29)",171.913260666581
521,"(0, 32)",171.91590160362983
522,"(30, 1)",172.05653558275787
523,"(11, 8)",172.08886704541936
524,"(21, 12)",172.09015019962044
525,"(23, 7)",172.09419611621865
526,"(2, 33)",172.10491376331112
527,"(24, 8)",172.1432349604188
528,"(29, 2)",172.17010820877906
529,"(12, 25)",172.18329358728704
530,"(10, 26)",172.18902472633258
531,"(14, 25)",172.23589419755052
532,"(10, 6)",172.23738930531243
533,"(24, 6)",172.3148063383198
534,"(9, 27)",172.34686657409515
535,"(0, 34)",172.42500552886386
536,"(16, 21)",172.45809798867458
537,"(17, 20)",172.529187775944
538,"(5, 35)",172.5448648516726
539,"(16, 20)",172.61835685853964
540,"(27, 4)",172.67218081195634
541,"(1, 34)",172.79003190159696
542,"(0, 33)",172.79921492239
543,"(26, 5)",172.80620922616106
544,"(14, 23)",172.82746728325176
545,"(4, 33)",172.8407098845244
546,"(15, 22)",172.85120631906608
547,"(1, 31)",172.9034355080846
548,"(14, 18)",172.91069963836537
549,"(2, 31)",172.99019015210078
550,"(21, 19)",172.9955314145989
551,"(7, 5)",173.03654934389425
552,"(13, 24)",173.0917651728641
553,"(2, 35)",173.16609379617972
554,"(6, 34)",173.17182758648298
555,"(7, 26)",173.20473490263126
556,"(6, 30)",173.22915856071165
557,"(1, 30)",173.33006662371437
558,"(19, 9)",173.33299148241557
559,"(10, 27)",173.38490070563228
560,"(1, 32)",173.4138568688228
561,"(2, 29)",173.44519453070959
562,"(3, 28)",173.4614583487737
563,"(14, 8)",173.46518115183886
564,"(9, 4)",173.49942038895927
565,"(28, 4)",173.529901660665
566,"(6, 32)",173.58393518185815
567,"(4, 27)",173.58885322770675
568,"(6, 31)",173.5972628838013
569,"(5, 29)",173.61569273431343
570,"(6, 28)",173.65843884432473
571,"(6, 29)",173.72179857217174
572,"(16, 19)",173.73812639920263
573,"(26, 6)",173.74203540019204
574,"(15, 17)",173.74534648720532
575,"(3, 30)",173.7629878240197
576,"(32, 0)",173.77963821587704
577,"(25, 6)",173.79401135363645
578,"(31, 1)",173.80387252420766
579,"(29, 3)",173.84220104859853
580,"(30, 2)",173.85309409871172
581,"(13, 16)",173.85827172486927
582,"(12, 26)",173.89769796516438
583,"(14, 26)",173.89891938707746
584,"(5, 28)",174.0074058874726
585,"(9, 28)",174.03432440224714
586,"(17, 14)",174.05725715059066
587,"(16, 22)",174.13856312303756
588,"(26, 11)",174.13878666077719
589,"(7, 33)",174.18362014696118
590,"(5, 26)",174.18684139816574
591,"(11, 26)",174.23535621971138
592,"(11, 32)",174.3207892747712
593,"(16, 17)",174.36548896546543
594,"(8, 5)",174.42430620665812
595,"(24, 7)",174.46371547370492
596,"(14, 10)",174.48083018464337
597,"(15, 24)",174.51001109632318
598,"(22, 9)",174.5374378344161
599,"(12, 16)",174.54541250633386
600,"(29, 4)",174.55402817360226
601,"(28, 5)",174.58461927348444
602,"(12, 34)",174.5867107094287
603,"(21, 11)",174.59374794745878
604,"(17, 21)",174.65001498910402
605,"(10, 28)",174.70041183502474
606,"(20, 25)",174.7155058388246
607,"(11, 27)",174.7308775061253
608,"(14, 24)",174.76690313395835
609,"(20, 9)",174.7709260684011
610,"(17, 16)",174.77092623309608
611,"(27, 5)",174.77927664453904
612,"(5, 30)",174.79067041261516
613,"(22, 11)",174.80080172049276
614,"(7, 29)",174.85220441902618
615,"(14, 17)",174.89096858232244
616,"(17, 15)",174.89717924329
617,"(6, 35)",174.9288129093373
618,"(7, 27)",174.96430320619908
619,"(21, 9)",175.02501786238508
620,"(5, 33)",175.1645450142248
621,"(15, 16)",175.19128949007876
622,"(2, 30)",175.2194020379692
623,"(25, 7)",175.22506822042163
624,"(4, 31)",175.28642407378243
625,"(19, 10)",175.29115187267996
626,"(7, 34)",175.29243878367694
627,"(23, 8)",175.31047526938994
628,"(31, 2)",175.33987775123973
629,"(7, 35)",175.3562654911545
630,"(12, 27)",175.36451280637152
631,"(13, 34)",175.37773033788577
632,"(3, 29)",175.44795708739503
633,"(15, 18)",175.45308396247987
634,"(1, 33)",175.45582999044575
635,"(18, 16)",175.46437672414334
636,"(11, 28)",175.47059631627798
637,"(17, 18)",175.51930970416288
638,"(3, 31)",175.60354541684438
639,"(33, 0)",175.60591764683338
640,"(15, 23)",175.62819875335026
641,"(29, 5)",175.64389536261166
642,"(19, 23)",175.65593164446153
643,"(5, 27)",175.65799323507008
644,"(11, 35)",175.69412995402968
645,"(23, 9)",175.70019347424602
646,"(10, 29)",175.70356219065775
647,"(20, 12)",175.76342254675018
648,"(32, 1)",175.79650949424132
649,"(1, 35)",175.80489500276096
650,"(2, 34)",175.86796604421266
651,"(12, 35)",175.9026926681366
652,"(12, 28)",175.92262411117906
653,"(30, 3)",175.94698272349945
654,"(20, 26)",175.9686735429385
655,"(9, 5)",175.9713968143816
656,"(5, 31)",176.00306911597087
657,"(21, 10)",176.0148469583687
658,"(17, 22)",176.0281842445728
659,"(28, 6)",176.04347907462335
660,"(13, 26)",176.05101912938773
661,"(23, 10)",176.07070764082988
662,"(21, 21)",176.122276472971
663,"(8, 34)",176.12286122347592
664,"(15, 26)",176.1335304413826
665,"(10, 7)",176.1801984600727
666,"(24, 9)",176.25792790759442
667,"(11, 29)",176.34694048536755
668,"(26, 8)",176.34837804591217
669,"(7, 31)",176.37421008988068
670,"(6, 33)",176.46530386175175
671,"(19, 15)",176.51917489684485
672,"(3, 35)",176.58155473854484
673,"(22, 8)",176.5878849217244
674,"(27, 6)",176.59847441787014
675,"(27, 9)",176.6326483338558
676,"(19, 20)",176.6539797531559
677,"(21, 25)",176.6807523612224
678,"(9, 29)",176.77149394916637
679,"(13, 27)",176.83486181868398
680,"(22, 21)",176.89822000161806
681,"(15, 35)",176.89942059542648
682,"(13, 28)",176.98170847268688
683,"(13, 35)",177.00144002001704
684,"(28, 7)",177.00924535943946
685,"(34, 0)",177.01940765664696
686,"(31, 3)",177.0397948976531
687,"(9, 35)",177.0433620282176
688,"(25, 8)",177.07497511695635
689,"(7, 30)",177.08998130534482
690,"(29, 7)",177.10994367160328
691,"(20, 15)",177.1584358480884
692,"(17, 17)",177.1703299456039
693,"(8, 35)",177.1724542591463
694,"(16, 23)",177.23403302773647
695,"(26, 7)",177.23847180673835
696,"(23, 11)",177.252798257322
697,"(22, 25)",177.38915575400307
698,"(12, 29)",177.3901682563889
699,"(22, 12)",177.39354031493974
700,"(27, 11)",177.44824146302057
701,"(32, 2)",177.45740327340994
702,"(7, 28)",177.48929168035565
703,"(10, 30)",177.49645103976576
704,"(18, 15)",177.53818783487776
705,"(30, 4)",177.62996807750858
706,"(14, 34)",177.67608928792427
707,"(16, 24)",177.68159429338277
708,"(20, 24)",177.77940589925032
709,"(25, 11)",177.77988378674297
710,"(24, 11)",177.78721478445053
711,"(29, 8)",177.80776600091767
712,"(16, 25)",177.90882606323413
713,"(8, 30)",177.91630125990702
714,"(19, 17)",177.95364127272427
715,"(10, 35)",177.97046943276587
716,"(8, 31)",177.9843708564921
717,"(9, 34)",177.98747458792366
718,"(21, 8)",177.99910737508827
719,"(18, 22)",178.04047529937003
720,"(25, 9)",178.1598780963488
721,"(33, 2)",178.17791059080412
722,"(9, 30)",178.20697010793754
723,"(31, 5)",178.20722777369673
724,"(17, 9)",178.29715506065747
725,"(4, 30)",178.31365662102306
726,"(15, 25)",178.31652331536753
727,"(27, 7)",178.32521771737152
728,"(22, 10)",178.36533025503547
729,"(29, 6)",178.4114345631065
730,"(30, 5)",178.41808822079764
731,"(10, 34)",178.43954250892583
732,"(14, 35)",178.4595231040089
733,"(0, 8)",178.47318513653894
734,"(10, 32)",178.49684726555012
735,"(29, 9)",178.5232305596645
736,"(34, 2)",178.5444478452846
737,"(24, 10)",178.55329922416917
738,"(31, 4)",178.55627119353824
739,"(0, 9)",178.5605818959081
740,"(18, 17)",178.6012251586618
741,"(16, 35)",178.6229093630625
742,"(11, 30)",178.66479714503873
743,"(8, 33)",178.7294164857585
744,"(35, 0)",178.73380136960697
745,"(32, 3)",178.836459446655
746,"(12, 32)",178.84789677438368
747,"(30, 8)",179.12165157475883
748,"(30, 7)",179.12722151036795
749,"(16, 18)",179.13757419280915
750,"(26, 9)",179.20329130940397
751,"(18, 18)",179.24083565675102
752,"(9, 31)",179.25449349940067
